Title,Address,District,PostingDate,PostType,Price,Area,Direction,Bedrooms,Bathrooms,Floors,Width_meters,Legal,Interior,Entrancewidth,Area_m2,Entrance_width,Width,PostingYear,PostingMonth,PostingQuarter,Month_sin,Month_cos,Days_Since_Posted,Half_Year
Em Trang Vinhomes gửi căn rẻ nhất Vinhomes 47.5m2-63m2-100m2 giá từ 59tr/m2 (Ko ảo - Ko làm phiền),"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,05/12/2023,Căn hộ chung cư tại Vinhomes Smart City,4.4,68 m²,0,3.0,2.0,,0,0,0,0,68.0,5.0,5.0,2023,12,4,-2.4492935982947064e-16,1.0,757,1
"Chính chủ bán căn hộ 1PN+ tòa GS2 tại Vinhomes Smart City, 3,05 tỷ","Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,16/05/2024,Căn hộ chung cư tại Vinhomes Smart City,3.2,43 m²,Tây - Bắc,1.0,1.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,43.0,5.0,5.0,2024,5,2,0.49999999999999994,-0.8660254037844387,594,0
"Bán căn góc 3 mặt tiền đẹp nhất, giá tốt nhất Vinhomes Cổ Loa","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,26/11/2023,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",50.2,"148,9 m²",Tây,,,,0,Hợp đồng mua bán,0,0,148.9,6.0,5.0,2023,11,4,-0.5000000000000004,0.8660254037844384,766,1
"Bán liền kề 5 tầng. BT tại Vinhomes Cổ Loa, 14,3 tỷ, Quà tặng 250tr HTLS 36 tháng. LH 0985 429 ***","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,13/06/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",16.3,63 m²,Đông - Bắc,4.0,4.0,5.0,5 m,Hợp đồng mua bán,0,13 m,63.0,13.0,5.0,2024,6,2,1.2246467991473532e-16,-1.0,566,0
Biệt thự Dương Nội quỹ căn vip giá f0: Đường lớn-căn góc-view chung cư ck tới 13% từ cđt Nam Cường,"Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,31/05/2025,"Nhà biệt thự, liền kề tại Solasta Mansion Dương Nội",35.8,"212,5 m²",0,,,,0,Sổ đỏ/ Sổ hồng,0,0,212.5,8.0,5.0,2025,5,2,0.49999999999999994,-0.8660254037844387,214,0
Tạo ngay ra dòng tiền 360 triệu/năm với số vốn ban đầu bỏ ra chỉ 2 tỷ chỉ có tại Vinhomes Móng Cái,"Dự án Vinhomes Golden Avenue Móng Cái, Phường Hải Hòa, Móng Cái, Quảng Ninh",Móng Cái,09/09/2023,"Nhà biệt thự, liền kề tại Vinhomes Golden Avenue Móng Cái",5.7,90 m²,0,,,5.0,5 m,Sổ đỏ/ Sổ hồng,0,"17,5 m",90.0,17.5,5.0,2023,9,3,-1.0,-1.8369701987210297e-16,844,1
"Chính chủ em bán tòa nhà Mặt Phố Nguyễn Khuyễn, Văn Quán, Hà Đông, 75m2, 9 tầng, Giá 24.8 tỷ","Đường Nguyễn Khuyến, Phường Văn Quán, Hà Đông, Hà Nội",Hà Đông,14/08/2024,Nhà mặt phố tại đường Nguyễn Khuyến,27.7,75 m²,0,6.0,,9.0,"5,5 m",Sổ đỏ/ Sổ hồng,0,24 m,75.0,24.0,5.5,2024,8,3,-0.8660254037844385,-0.5000000000000004,504,1
"Hot! Mở bán quỹ CH độc quyền dự án Eurowindow sát VH Cổ Loa, CH 2PN full Nt giá 3,55 tỷ ở + đầu Tư","Dự án Eurowindow River Park, Đường 5, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,25/10/2024,Căn hộ chung cư tại Eurowindow River Park,3.8,63 m²,Tây - Bắc,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,63.0,6.0,5.0,2024,10,4,-0.8660254037844386,0.5000000000000001,432,1
"Bán nhà chia lô khu Trung Kính, Phường Yên Hoà - Quận Cầu Giấy","Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội.",Cầu Giấy,06/11/2024,Nhà riêng tại phố Trung Kính,37.0,"68,9 m²",0,3.0,,3.0,"5,1 m",Có sổ.,0,0,68.9,6.0,5.1,2024,11,4,-0.5000000000000004,0.8660254037844384,420,1
(Giá mềm) Soha Land cập nhật quỹ bán căn hộ chung cư 1PN 2PN 3PN Vinhomes D'Capitale Trần Duy Hưng,"Vinhomes D'Capitale, 119, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",Cầu Giấy,20/11/2025,Căn hộ chung cư tại Vinhomes D'Capitale,8.4,72 m²,0,2.0,2.0,,0,Sổ đỏ lâu dài + Quỹ căn HĐMB 50 năm,Đầy đủ - Hoặc cơ bản,0,72.0,6.0,5.0,2025,11,4,-0.5000000000000004,0.8660254037844384,41,1
"Chính chủ trên sổ đỏ bán gấp Căn S4, 53m Vinhome Smart City, 3ty290, Đông Nam view công viên thoáng","Vinhomes Smart City , Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,27/06/2025,Căn hộ chung cư tại Vinhomes Smart City,4.1,53 m²,Đông - Nam,2.0,1.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,53.0,5.0,5.0,2025,6,2,1.2246467991473532e-16,-1.0,187,0
"Cđt nam cường mở bán dãy s01 đối diện chung cư, mặt đường 30m - vay miễn lãi 3 năm, chiết khấu 12%","Solasta Mansion Dương Nội, Tố Hữu, Dương Nội, Hà Đông, Hà Nội",Hà Đông,05/12/2023,"Nhà biệt thự, liền kề tại Solasta Mansion Dương Nội",32.9,"212,5 m²",Đông - Bắc,5.0,6.0,4.0,9 m,Sổ đỏ/ Sổ hồng,Không nội thất,30 m,212.5,30.0,9.0,2023,12,4,-2.4492935982947064e-16,1.0,757,1
Cân bán nhà mặt đường Cổ Nhuế.,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,24/05/2023,Nhà mặt phố tại đường Cổ Nhuế,25.8,172 m²,Đông - Bắc,5.0,5.0,4.0,5 m,Sổ đỏ/ Sổ hồng,0,13 m,172.0,13.0,5.0,2023,5,2,0.49999999999999994,-0.8660254037844387,952,0
"CAM KẾT GIÁ ĐÚNG. Bán căn hộ 3 ngủ 3 wc tại Viha Complex 9 tỷ, 93m2. Liên hệ: 24/7","Viha Complex, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",Thanh Xuân,05/01/2025,Căn hộ chung cư tại Viha Complex,10.5,93 m²,Tây - Bắc,3.0,3.0,,0,Sổ đỏ/ Sổ hồng,Cơ bản,0,93.0,6.0,4.7,2025,1,1,0.49999999999999994,0.8660254037844387,360,0
"Quỹ hàng độc quyền các căn vị trí đẹp gần chung cư, công viên tại Vinhomes Cổ Loa, giá từ 14,x tỷ","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,26/07/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",16.3,"62,5 m²",0,,,5.0,0,Hợp đồng mua bán,0,0,62.5,6.0,5.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,523,1
Bảng giá căn vị trí đẹp và rẻ nhất thị trường. Chiết khấu đến 22% chọn căn theo yêu cầu khách hàng,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,04/03/2023,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",23.3,75 m²,0,,,,0,0,0,0,75.0,6.0,5.0,2023,3,1,1.0,6.123233995736766e-17,1033,0
Mở bán Shophouse Chân Đế sổ lâu dài 65m2-trực tiếp CĐT-Sẵn siêu thị thuê 70tr/tháng (Vốn vào 30%),"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,05/10/2025,"Shophouse, nhà phố thương mại tại Vinhomes Smart City",13.3,65 m²,0,,,,0,Sổ đỏ/ Sổ hồng,0,0,65.0,5.0,5.0,2025,10,4,-0.8660254037844386,0.5000000000000001,87,1
Mở bán Shophouse Chân Đế sổ lâu dài 65m2-trực tiếp CĐT-Sẵn siêu thị thuê 70tr/tháng (Vốn vào 30%),"Dự án Vinhomes Smart City , Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",Nam Từ Liêm,31/10/2023,"Shophouse, nhà phố thương mại tại Vinhomes Smart City",11.2,65 m²,0,,,,0,Sổ đỏ/ Sổ hồng,0,0,65.0,5.0,5.0,2023,10,4,-0.8660254037844386,0.5000000000000001,792,1
"Quỹ 500 căn hộ chính chủ gửi bán, pháp lý rõ ràng, giá rẻ nhất thị trường tại Vinhomes Ocean Park","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,18/12/2024,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,3.0,55 m²,Tây - Bắc,2.0,1.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ.,0,55.0,8.0,6.0,2024,12,4,-2.4492935982947064e-16,1.0,378,1
Tạo ngay ra dòng tiền 360 triệu/năm với số vốn ban đầu bỏ ra chỉ 2 tỷ chỉ có tại Vinhomes Móng Cái,"Dự án Vinhomes Golden Avenue Móng Cái, Phường Hải Hòa, Móng Cái, Quảng Ninh",Móng Cái,15/09/2024,"Nhà biệt thự, liền kề tại Vinhomes Golden Avenue Móng Cái",6.9,90 m²,0,,,5.0,5 m,Sổ đỏ/ Sổ hồng,0,"17,5 m",90.0,17.5,5.0,2024,9,3,-1.0,-1.8369701987210297e-16,472,1
CHCC Long Biên 2PN 74m2 80m2 từ 5.9 tỷ & duplex 169m2 từ 14 tỷ nhận nhà ở ngay đón tết,"Dự án Sunshine Green Iconic, Phường Phúc Đồng, Long Biên, Hà Nội",Long Biên,23/11/2025,Căn hộ chung cư tại Sunshine Green Iconic,7.5,80 m²,Đông - Bắc,2.0,2.0,,0,Hợp đồng mua bán,Đầy đủ.,0,80.0,6.0,5.0,2025,11,4,-0.5000000000000004,0.8660254037844384,38,1
"Sở hữu căn hộ đẹp tại Vinhomes Ocean Park Không gian sống đẳng cấp, giá hấp dẫn đón Tết! Chuẩn 100%","Dự án The Sapphire 1 - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,30/10/2025,Căn hộ chung cư tại The Sapphire 1 - Vinhomes Ocean Park,2.3,36 m²,0,1.0,1.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,36.0,8.0,6.0,2025,10,4,-0.8660254037844386,0.5000000000000001,62,1
"Chính chủ bán căn hộ 83m2, 3PN 2WC, KĐT Xa La, Hà Đông, nội thất thiết kế và sửa lại hoàn toàn","Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",Hà Đông,29/10/2024,Căn hộ chung cư tại Khu đô thị mới Xa La,4.2,83 m²,Đông - Nam,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,83.0,8.0,5.0,2024,10,4,-0.8660254037844386,0.5000000000000001,428,1
"Full bảng hàng CĐT & chuyển nhượng từ 2-3-4 PN, nhận nhà ngay tại D.Le Roi Soleil, giá từ 8.7 tỷ","Dự án D’. Le Roi Soleil , 59 Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",Tây Hồ,15/10/2025,Căn hộ chung cư tại D’. Le Roi Soleil,16.0,146 m²,0,3.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,146.0,7.0,6.0,2025,10,4,-0.8660254037844386,0.5000000000000001,77,1
"Full quỹ căn 2 - 3 - 4N CĐT, Chuyển nhượng & cho thuê, giá tốt nhất tại D. Le Roi Soleil Quảng An","D’. Le Roi Soleil , Xuân Diệu, Quảng An, Tây Hồ, Hà Nội",Tây Hồ,06/09/2023,Căn hộ chung cư tại D’. Le Roi Soleil,11.8,111 m²,0,,,,0,0,0,0,111.0,7.0,6.0,2023,9,3,-1.0,-1.8369701987210297e-16,847,1
"Trực tiếp CĐT bán BT Ciputra có hầm đã có sổ, nhận nhà ngay giá chỉ từ 348tr/m2. Vay 0% LS 12 tháng","Dự án Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",Tây Hồ,20/12/2023,"Nhà biệt thự, liền kề tại Kita Capital Ciputra",49.3,150 m²,Đông - Nam,5.0,4.0,4.0,7 m,Sổ đỏ/ Sổ hồng,0,"13,5 m",150.0,13.5,7.0,2023,12,4,-2.4492935982947064e-16,1.0,742,1
"Tổng hợp 5 căn giá tốt TN3-2x DT 75m giá 21 tỷ, AD3-2x DT 80m giá 19 tỷ, AD3-34 DT 63m giá 14,7 tỷ","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,19/07/2025,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",23.7,80 m²,0,,,,0,0,0,0,80.0,6.0,5.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,165,1
"Quỹ ngoại giao biệt thự, LK đấu giá giá tốt, trả tiến độ, hỗ trợ vay 70%, sổ đỏ, CĐT: 0921 900 ***","Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",Mê Linh,28/01/2024,"Nhà biệt thự, liền kề tại HUD Me Linh Central",18.9,300 m²,0,4.0,3.0,3.0,10 m,0,0,"13,5 m",300.0,13.5,10.0,2024,1,1,0.49999999999999994,0.8660254037844387,703,0
Check (free) bảng hàng cập nhật quỹ căn đẹp thấp tầng và chung cư Vinhomes Global Gate,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,17/11/2023,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",15.4,"62,5 m²",0,,,,0,Hợp đồng mua bán,0,0,62.5,6.0,5.0,2023,11,4,-0.5000000000000004,0.8660254037844384,775,1
Xanh Villas 2 - Chỉ hơn 50tr/m2 biệt thự sân vườn vận hành 5 sao cách Big C 30 phút,"Dự án Hà Nội Tropical Garden, Xã Yên Bình, Thạch Thất, Hà Nội",Thạch Thất,11/09/2024,"Nhà biệt thự, liền kề tại Hà Nội Tropical Garden",14.3,220 m²,Đông,5.0,4.0,3.0,10 m,Hợp đồng mua bán,0,12 m,220.0,12.0,10.0,2024,9,3,-1.0,-1.8369701987210297e-16,476,1
Quỹ căn chuyển nhượng từ 1-2-3-4 phòng ngủ sẵn sổ đỏ cập nhật liên tục tại Green Diamond 93 Láng Hạ,"Dự án Green Diamond 93 Láng Hạ, Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",Đống Đa,20/06/2025,Căn hộ chung cư tại Green Diamond 93 Láng Hạ,10.8,"91,4 m²",Đông - Nam,2.0,,,0,0,Full đồ nội thất.,0,91.4,5.0,5.0,2025,6,2,1.2246467991473532e-16,-1.0,194,0
10 Suất ngoại giao duy nhất tại dự án Vinhomes Cổ Loa - chi tiết liên hệ Ms Đào 0982 974 ***,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,27/04/2023,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",18.5,75 m²,Đông - Nam,8.0,8.0,5.0,0,Sổ đỏ/ Sổ hồng,0,0,75.0,6.0,5.0,2023,4,2,0.8660254037844387,-0.4999999999999998,979,0
Top 1! Biệt thự đơn lập góc giá tốt nhất tại Ngọc Trai Vinhomes Ocean Park Gia Lâm.LH 0967 510 ***,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,06/12/2025,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",85.0,227 m²,Đông - Nam,,,,"16,1 m",Sổ đỏ/ Sổ hồng,0,0,227.0,8.0,16.1,2025,12,4,-2.4492935982947064e-16,1.0,25,1
Tạo ngay ra dòng tiền 360 triệu/năm với số vốn ban đầu bỏ ra chỉ 2 tỷ chỉ có tại Vinhomes Móng Cái,"Dự án Vinhomes Golden Avenue Móng Cái, Phường Hải Hòa, Móng Cái, Quảng Ninh",Móng Cái,16/05/2025,"Nhà biệt thự, liền kề tại Vinhomes Golden Avenue Móng Cái",7.0,90 m²,0,,,5.0,5 m,Sổ đỏ/ Sổ hồng,0,"17,5 m",90.0,17.5,5.0,2025,5,2,0.49999999999999994,-0.8660254037844387,229,0
Bán căn hộ chung cư Sunshine Green Iconic (2 Ngủ: 5 tỷ và 3 ngủ: 8 tỷ) Liên hệ: 0981 757 ***,"Dự án Sunshine Green Iconic, Đường Nguyễn Lam, Phường Phúc Đồng, Long Biên, Hà Nội",Long Biên,08/09/2023,Căn hộ chung cư tại Sunshine Green Iconic,5.1,80 m²,Đông - Bắc,2.0,2.0,,0,Hợp đồng mua bán,"Nội thất nguyên bản chủ đầu tư: Bếp, tủ bếp, hút mùi, nóng lạnh, điều hòa âm trần, sàn gỗ, thiết bị vệ sinh...",0,80.0,6.0,5.0,2023,9,3,-1.0,-1.8369701987210297e-16,845,1
Độc quyền! Quỹ căn 2 - 3 ngủ giá cực tốt ký trực tiếp CĐT Hà Nội Melody chỉ 55tr/m2 view hồ đẹp,"Dự án Hà Nội Melody Residences, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",Hoàng Mai,10/01/2023,Căn hộ chung cư tại Hà Nội Melody Residences,3.7,68 m²,Đông - Bắc,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,68.0,5.0,4.5,2023,1,1,0.49999999999999994,0.8660254037844387,1086,0
"Biệt thư đơn lập HUD Mê Linh, lô góc, view công viên, vào tiền theo tiến độ, NH hỗ trợ 70%, giá tốt","Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",Mê Linh,15/02/2025,"Nhà biệt thự, liền kề tại HUD Me Linh Central",29.0,461 m²,0,,,,0,0,0,0,461.0,6.0,4.1,2025,2,1,0.8660254037844386,0.5000000000000001,319,0
"Trực tiếp CĐT quỹ căn hoa hậu, CK 22%, miễn lãi gốc 36 tháng, giá từ 13x tỷ Vinhomes Global Gate","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,15/05/2025,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",16.6,"62,5 m²",0,,,,0,0,0,0,62.5,6.0,5.0,2025,5,2,0.49999999999999994,-0.8660254037844387,230,0
"CĐT Bitexco ra hàng phân khu Aristo - Đẹp nhất The Manor, chiết khấu 21% + ưu đãi đặc biệt đón Tết","Dự án The Manor Central Park, Đường Đại Lộ Hoàng Mai, Phường Đại Kim, Hoàng Mai, Hà Nội",Hoàng Mai,31/01/2024,"Nhà biệt thự, liền kề tại The Manor Central Park",41.5,108 m²,Tây - Bắc,5.0,6.0,5.0,6 m,Hợp đồng mua bán,Không nội thất.,"17,5 m",108.0,17.5,6.0,2024,1,1,0.49999999999999994,0.8660254037844387,700,0
"VINHOMES OCEAN PARK 1,2,3 MỞ BÁN QUỸ CĂN VIP, ĐẦU TƯ GIÁ TỐT NHẤT TOÀN THỊ TRƯỜNG","Vinhomes Ocean Park Gia Lâm, Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,14/06/2023,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",27.7,150 m²,Đông - Bắc,,,,10 m,Hợp đồng mua bán,0,52 m,150.0,52.0,10.0,2023,6,2,1.2246467991473532e-16,-1.0,931,0
"Vinhomes Cổ Loa, nhà phố thương mại giá đầu tư tốt nhất thị trường, chỉ 15.1 tỷ/căn","Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,18/11/2024,"Shophouse, nhà phố thương mại tại Vinhomes Cổ Loa",17.9,63 m²,Tây - Nam,,,,"4,5 m",Hợp đồng mua bán,0,0,63.0,6.0,4.5,2024,11,4,-0.5000000000000004,0.8660254037844384,408,1
Cập nhật quỹ căn bán chung cư Sunshine City Ciputra tháng 12/2024 hàng đẹp - giá cạnh tranh,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,25/12/2023,Căn hộ chung cư tại Sunshine City,6.5,"80,3 m²",0,2.0,2.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ,0,80.3,4.5,5.0,2023,12,4,-2.4492935982947064e-16,1.0,737,1
"Chính chủ bán CHDV lô góc tại Cầu Giấy, thông Dương Quảng Hàm - 78m2 - Cơ hội đầu tư hấp dẫn!","Số 32 ngõ 3, Đường Nguyễn Văn Huyên, Phường Quan Hoa, Cầu Giấy, Hà Nội",Cầu Giấy,13/04/2023,Nhà riêng tại đường Nguyễn Văn Huyên,19.2,78 m²,Tây - Nam,12.0,13.0,7.0,"4,08 m",Sổ đỏ/ Sổ hồng,"Bao gồm tủ lạnh, máy giặt riêng, giường tủ, sofa, bàn trà...",3 m,78.0,3.0,4.08,2023,4,2,0.8660254037844387,-0.4999999999999998,993,0
"Bán căn mặt hồ Ngọc Trai 1, dự án Vinhomes Ocean Park, Gia Lâm, hàng VIP dành cho giới tài phiệt","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,10/12/2023,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",154.3,306 m²,Đông - Nam,,,,17 m,Sổ đỏ/ Sổ hồng.,0,20 m,306.0,20.0,17.0,2023,12,4,-2.4492935982947064e-16,1.0,752,1
"Full bảng hàng có giá tốt nhất, chính chủ + chủ đầu tư tháng 12, tòa D'. Le Roi Soleil Xuân Diệu","Dự án D’. Le Roi Soleil , Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội",Tây Hồ,24/03/2025,Căn hộ chung cư tại D’. Le Roi Soleil,13.5,111 m²,Tây - Nam,3.0,3.0,,0,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp.,0,111.0,7.0,6.0,2025,3,1,1.0,6.123233995736766e-17,282,0
